Trial Alias,Material Number,Material Description,Material type,MRP Controller,MRP Group,MRP Type,Mixed MRP indicator,Material Group,Purchasing Group,Procurement Type,Profit Center,Processing time,Purchase Request Unit,Production Scheduling Profile,Product hierarchy,Material Authorization Group for Activities in QM,Maintenance status,Maintenance status of complete material,Minimum Target Range of Coverage,Issue Storage Location,Net contents,Net weight,Interval Until Next Recurring Inspection,Minimum Lot Size,Minimum Remaining Shelf Life,Minimum Safety Stock,Minimum Shelf Life Required: Location-Dependent,Maximum Stock Level,Maximum Storage Period,Maximum Shelf Life Required: Location-Dependent,Maximum Lot Size,Maximum Allowed Capacity of Packaging Material,Method for Selecting Alternative Bills of Material,Maximum Target Range of Coverage,Maturation Time,Mean inspection duration_deactivated,Load Capacity,Loading Group,Location-Dependent Shelf Life,Lot Sizing Procedure within Materials Planning,Volume,Width,Weight Unit,Version Indicator,Variance Key,Valuated Goods Receipt Blocked Stock.1,Validity date of vendor declaration,Universal Product,Transportation Group,Total shelf life,Total replenishment lead time in workdays,Tied Empties Stock,Throughput Time,Third-Party Order Processing,Temperature conditions indicator,Target Stock,Target Days' Supply in Workdays,Takt time,Synchronization Time Stamp,Synchronization Active,Surcharge factor for cost in percent,Storage percentage,Storage conditions,Storage Condition Flag,Stock Transfer Net Change Costing,Stock in Transit,Stock in transfer_plant to plant,Special procurement type,Shipping setup time,Shipping processing time,Service level,Serialization Valid From,Serialization Type,Sample for quality inspection_in%__deactivated,Safety time_in workdays,Safety stock,Rounding value for purchase order quantity,Retain Fixed Pegging for Product on Document Change,Resource Network,QM in Procurement Is Active,Quantity: Number of GR/GI slips to be printed,Requirement Strategy,Reorder Days' Supply_in Workdays,Reorder Point,Repair Safety Stock,Replenishment Lead Time in Calendar Days,Count of Reportable Item Code - Numerical ID,Required Maximum Shelf Life,PPC Planning Calendar,PPC Heuristics,Plant-Specific Material Status,PP Planning Procedure,ABC Indicator,Additional Instructions,Sum of Alert threshold for early receipts,Sum of Allowed packaging volume,Sum of Allowed packaging weight,ANP Code,Sum of Base quantity,Base Unit of Measure,Batch management Indicator_Internal,Batch Management Requirement Indicator for Plant,Checking Group for Availability Check,Commodity Code,Consumption mode,Sum of Consumption of Storage Capacity per Unit of Material,Consumption period: forward,Control Key for Quality Management in Procurement,Country of Origin of Material_Non-Preferential Origin,Created On,Current period _posting period,Date from which the plant-specific material status is valid,Date of Last Change,Default storage location for external procurement,Determination of batch entry in the production/process order,Division,Documentation required indicator,Sum of Duration of Work,Effective-Out Date,Exemption certificate: Issue date of exemption certificate,Expiration Date,External Representation of Material Number,Sum of Fixed lot size,Flag Material for Deletion at Plant Level,General item category group,Sum of Goods Issue Processing Time in Days,Sum of Goods receipt processing time in days,Sum of Gross contents,Sum of Gross weight
CT-5806-JWO,MAT-81584,Set Solution,Comparator,MRP-136,G3 Pilot,PD,Yes,MG558,PG88,External,PC1740,12,Movie,Music,45.57.42,Energy,Active,Completed,Matter,Possible,Different,28.66,Off,LOT-62858960,Never,Stage,Walk,Study,Thus,Win,LOT-99664516,3.14,Standard,Expert,2024-11-20,15,17.63,Often,Property,LOT-83708194,17.26,294966039,10.64,Road,Lose,Ask,V2989005,Maybe,Who,Country,6,Present,2023-11-25,Pick,Sport,Probably,21,2026-06-04,2025-06-22,General,4689.0,5.79,Rate,Yes,3986.21,Offer,LAT04,Family,2025-02-20,2024-02-01,Study,598601503,Charge,Moment,1,How,485,Foreign,Major,Million,75,Include,21,Notice,Style,7,178,Indeed,Future,Computer,Pending,Yes,Apply,Gun,Religious,22.22,42.25,Tq-7010,288,EA,Power,US01,Form,Uv-6672,Response,40.33,Institution,Language,Anguilla,2023-06-27,Environmental,Active,2025-08-23,Soldier,9CBEBD35-414,Ball,Account,14,2025-01-16,2025-06-02,2026-05-01,MAT-79992,LOT-17958339,AP03,List,20,23,Sea,8.61
CT-5806-JWO,MAT-26378,Shake Tablet,Investigational Product,MRP-126,G3 Pilot,VB,Yes,MG804,PG92,In-House,PC7345,12,Drop,Hot,56.84.11,Big,Active,Closed,Feel,Just,Clear,4.62,At,LOT-62567327,Foot,True,Color,Country,Year,Join,LOT-36343625,44.45,City,Everybody,2024-07-09,25,21.42,Decision,Series,LOT-39340148,22.85,583677489,40.21,Different,Law,Research,V6225374,Lead,Second,Guy,8,Civil,2025-09-01,Book,Others,Speech,6,2024-06-18,2026-01-07,Team,3641.4,62.89,Game,No,3139.62,Second,AP03,Plan,2024-11-20,2026-09-20,Study,939019016,Family,Officer,19,Step,454,City,My,Central,331,Tough,15,None,Figure,2,14,Public,Red,Sell,Active,Resource,Benefit,Box,Part,5.09,16.63,NK-9886,169,EA,We,US01,Office,Yn-1659,Sometimes,12.93,Board,Fund,Georgia,2023-11-28,Expert,Completed,2025-10-13,Way,A124C449-F40,Full,Course,10,2024-03-16,2025-07-31,2024-10-08,MAT-79992,LOT-41301239,EU02,Democrat,17,11,Degree,3.68
CT-5806-JWO,MAT-39857,Age Tablet,Ancillary Supply,MRP-131,G3 Pilot,VV,Yes,MG385,PG64,In-House,PC7234,12,Return,Among,58.66.61,Into,Active,Closed,Writer,Sense,Stop,17.99,Candidate,LOT-91103841,Live,Environmental,International,Site,Special,Body,LOT-19895402,2.38,Outside,Remain,2026-09-10,2,7.1,Produce,American,LOT-17958339,15.85,491094587,13.32,Leave,And,Baby,V9984335,Hour,Seat,Main,2,Tend,2024-02-22,Same,Company,Me,19,2023-12-30,2025-08-12,Tend,3842.64,38.46,I,No,3764.99,Heavy,EU02,Respond,2025-10-26,2025-09-05,Country,777594880,Debate,Protect,27,Require,214,Black,Conference,Any,260,Bank,1,Condition,Participant,5,166,Often,Enter,Say,Closed,Final,Word,Action,Stage,18.95,41.11,Kd-4389,267,EA,Than,EU02,Test,FF-6337,Almost,34.35,Field,Could,Tunisia,2025-07-01,Like,Closed,2025-06-25,Really,72B8F29D-C0E,While,Boy,22,2026-05-09,2025-03-09,2026-11-06,MAT-85304,LOT-89268420,LAT04,Next,7,9,Practice,25.87
CT-8015-GMQ,MAT-91309,Simply Injection,Comparator,MRP-118,G1 Clinical,PD,No,MG765,PG38,External,PC4445,2,Adult,True,75.82.11,Everyone,Active,Active,Contain,Sea,Another,1.78,Defense,LOT-82054650,Interview,Loss,Receive,Site,Deep,Consider,LOT-61778837,44.0,Make,Collection,2025-07-16,19,14.7,Party,Specific,LOT-26474824,12.75,502696311,48.03,After,Meet,Sign,V5411445,May,Force,In,23,Property,2024-03-12,Them,Which,Mission,11,2024-03-21,2026-07-08,Method,3089.32,99.04,Keep,No,1719.58,Recognize,AP03,Blood,2024-01-05,2025-09-18,Country,356053752,World,Wish,8,Center,91,South,Democratic,Magazine,288,Behavior,30,Red,Relationship,10,18,Miss,Employee,Great,Completed,Same,Form,Theory,Girl,46.06,36.91,ao-7096,427,EA,End,AP03,Until,Ly-8661,Everything,44.31,Party,Book,French Polynesia,2025-04-02,Music,Pending,2025-10-02,Against,AB2CA71A-47C,Sign,Note,23,2025-05-13,2025-03-21,2025-12-17,MAT-22610,LOT-26376337,US01,Into,27,29,Maybe,18.5
CT-8015-GMQ,MAT-74459,Memory Solution,Investigational Product,MRP-114,G2 Commercial,PD,No,MG398,PG63,External,PC1001,9,Market,Audience,65.74.10,Thank,Active,Active,Walk,Five,Buy,30.52,Treat,LOT-65133728,True,History,Ahead,Site,Compare,Need,LOT-52789053,32.22,Choice,Begin,2025-10-15,6,26.24,Pass,What,LOT-30558715,45.66,803973283,17.9,Deep,Little,Those,V1036789,Without,Paper,Arm,29,Century,2026-09-15,Decision,Weight,Thus,16,2024-01-07,2026-02-13,Like,4702.61,8.08,Country,No,3020.61,Increase,EU02,Keep,2024-02-27,2024-11-21,Country,935034497,Dark,Enough,21,Organization,413,Ask,Walk,Region,6,Six,22,East,Herself,13,110,Do,Future,Recently,Completed,Establish,Resource,New,Wish,4.47,20.18,KE-5967,278,EA,Difficult,US01,Answer,Hm-0551,Necessary,27.62,Arrive,Daughter,Slovenia,2025-08-04,How,Pending,2025-08-24,Season,DC6732A6-B32,Moment,Later,11,2024-04-10,2024-08-06,2024-08-13,MAT-93544,LOT-31271496,LAT04,Remember,27,19,Three,27.05
CT-8872-GKR,MAT-66331,Step Solution,Investigational Product,MRP-111,G1 Clinical,VB,No,MG987,PG78,In-House,PC6936,4,Respond,May,42.23.56,Age,Active,Closed,Politics,Unit,Beat,3.75,Doctor,LOT-34574127,Red,Poor,Range,Study,Republican,Life,LOT-62442527,37.56,Have,Sea,2025-10-24,1,19.09,Difficult,Raise,LOT-88008746,15.6,115436301,15.65,Huge,Huge,Course,V7546349,Student,Whom,Ground,20,Challenge,2026-01-25,Environmental,Seat,Sea,26,2026-10-24,2025-01-09,Spring,1968.3,5.8,Account,No,2416.21,Service,EU02,People,2024-12-02,2024-06-12,Country,247347883,Away,Thought,27,Treatment,104,Degree,Water,Full,224,Painting,14,Spring,Money,20,424,Experience,Improve,Ground,Closed,Month,Character,Live,Training,47.98,23.29,lm-3292,19,EA,Father,AP03,For,mI-9245,Hope,9.26,Thus,Serve,Liechtenstein,2024-10-09,Building,Pending,2025-07-08,Include,F810F57F-82C,Play,Question,24,2026-04-02,2024-09-18,2025-04-29,MAT-59079,LOT-26310890,EU02,Control,1,24,Data,19.65
CT-8872-GKR,MAT-23246,Type Injection,Comparator,MRP-119,G3 Pilot,PD,No,MG491,PG71,External,PC1258,12,Traditional,Whether,44.79.59,Within,Completed,Pending,Push,Note,Source,37.27,Boy,LOT-54197135,Shake,Dinner,Quickly,Country,Defense,Talk,LOT-50305764,33.66,Feeling,Buy,2024-12-27,16,4.3,He,Court,LOT-32873081,6.49,940455315,36.51,Common,Seat,Difference,V9523491,Week,Article,Any,10,Authority,2024-08-21,Wish,Agreement,Security,14,2024-01-19,2026-08-07,Follow,4676.03,75.42,Growth,No,2753.51,Night,EU02,Always,2023-12-20,2025-02-23,Study,112744593,Dog,Place,5,Security,69,Part,Report,Eight,380,Age,28,Through,Piece,24,491,Floor,Others,Way,Pending,Owner,Especially,Matter,Customer,18.94,33.38,uu-5860,78,EA,Individual,AP03,All,de-1189,Artist,22.49,Activity,Hundred,Mexico,2023-06-23,Happy,Pending,2025-06-25,Determine,C3C4CA8C-DA3,Environment,We,29,2024-09-21,2026-07-07,2024-09-09,MAT-82814,LOT-98018080,US01,Provide,7,8,End,39.23
CT-8872-GKR,MAT-58804,Sense Tablet,Investigational Product,MRP-114,G2 Commercial,VB,Yes,MG107,PG91,Consignment,PC5689,15,Effort,Range,13.35.25,Short,Completed,Closed,Gun,Candidate,Our,4.46,Hot,LOT-28144033,Forget,Reach,Who,Study,Skill,Indeed,LOT-49441641,6.24,Prepare,Yourself,2024-07-26,18,8.12,Say,Bring,LOT-18410275,32.88,567250339,23.0,Simple,Ability,Public,V7175482,Move,So,Concern,25,Agency,2025-10-29,Big,Sound,Case,28,2024-07-13,2025-06-10,Wall,4001.48,55.16,Of,Yes,735.44,Happy,EU02,Along,2026-09-18,2024-07-27,Site,167393982,North,Project,10,Every,308,Town,Tough,Activity,71,Most,22,Admit,Similar,28,40,All,Wrong,Speech,Active,Choice,Enough,Environment,Condition,44.56,25.9,xL-8315,217,EA,Camera,LAT04,About,IP-9221,Run,40.16,Style,Century,Antigua and Barbuda,2023-10-17,Within,Active,2025-10-14,Bill,272CA541-8B2,Religious,Open,28,2025-01-18,2024-07-04,2024-09-02,MAT-17085,LOT-19373416,US01,Staff,26,3,Election,29.28
CT-1696-SCY,MAT-14115,Property Tablet,Comparator,MRP-135,G3 Pilot,VB,No,MG709,PG74,Consignment,PC5613,13,Cell,But,70.80.21,Live,Pending,Completed,Film,Song,Friend,49.65,Third,LOT-92879466,Water,Simply,Beautiful,Site,Radio,Measure,LOT-60226706,4.94,By,Dark,2024-12-06,24,38.76,Price,State,LOT-54732004,42.29,169764211,22.31,Real,Republican,Decade,V1022199,Beautiful,At,Move,18,Feeling,2025-12-21,Life,When,Anything,10,2025-09-03,2024-09-02,Measure,3777.19,56.53,Sing,Yes,2845.48,Similar,LAT04,Near,2026-04-04,2026-05-14,Study,434797502,Pretty,Bar,27,To,478,On,Arrive,Away,464,Worker,22,More,Power,27,218,Play,Cause,Situation,Closed,Claim,Audience,Improve,My,42.65,22.23,KU-8849,446,EA,Rather,LAT04,Mother,CE-3704,Identify,1.51,Environmental,Last,Nepal,2025-08-04,Final,Active,2025-08-29,Discussion,150CE384-BD4,Perhaps,To,5,2026-01-12,2024-01-10,2024-05-08,MAT-34899,LOT-24616505,AP03,Blue,20,4,Great,4.41
CT-1696-SCY,MAT-78401,Expect Tablet,Ancillary Supply,MRP-103,G2 Commercial,PD,Yes,MG929,PG18,Consignment,PC6932,15,Experience,Last,86.14.66,Ten,Completed,Active,Population,Little,Maintain,42.05,Senior,LOT-60226706,Line,Authority,Throw,Country,Husband,Itself,LOT-99508478,25.14,View,Condition,2025-09-21,5,0.56,Maintain,Which,LOT-86533765,26.62,529044709,3.24,But,Decision,Practice,V4602511,Campaign,Learn,Reveal,18,Rich,2024-08-10,Media,Question,Sense,6,2025-11-12,2026-05-11,Stop,4886.74,8.97,Actually,No,2348.91,Report,EU02,Others,2024-04-08,2024-03-04,Study,702180602,Home,Sport,27,Talk,465,To,Deep,Memory,473,Under,29,Impact,Wrong,7,306,Area,Or,Structure,Closed,Image,Home,Bag,Evidence,16.53,38.56,Ko-9761,221,EA,Story,AP03,Else,SZ-3839,Draw,42.62,Impact,Election,Sri Lanka,2025-07-29,Blue,Pending,2025-07-28,Shake,B83CFAB5-B68,Line,Join,10,2026-04-19,2024-10-19,2024-12-22,MAT-82814,LOT-65133728,LAT04,Help,14,5,Human,3.66
